,TEAM_ABBREVIATION,SEASON_ID,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PTS,REB,STL,TOV,RS_WINS,PLAYOFF,P_WINS,CONF
0,ATL,2010-11,1802,341.0,2460.0,1427.0,502.0,0.352,6429,2971,0.462,1728,1346,0.779,762.0,1554,7790,3222.0,497.0,1048.0,44,True,6,Eastern
1,ATL,2012-13,2007,369.0,2593.0,1901.0,706.0,0.371,6644,3084,0.464,1619,1158,0.715,758.0,1473,8032,3351.0,664.0,1169.0,44,True,2,Eastern
2,ATL,2013-14,2041,326.0,2565.0,2116.0,768.0,0.363,6688,3061,0.458,1782,1392,0.781,713.0,1577,8282,3278.0,680.0,1189.0,38,True,3,Eastern
3,ATL,2014-15,2111,380.0,2611.0,2152.0,818.0,0.38,6699,3121,0.466,1735,1349,0.778,715.0,1457,8409,3326.0,744.0,1103.0,60,True,8,Eastern
4,ATL,2015-16,2100,486.0,2772.0,2326.0,815.0,0.35,6923,3168,0.458,1638,1282,0.783,679.0,1570,8433,3451.0,747.0,1191.0,48,True,4,Eastern
5,ATL,2016-17,1938,397.0,2793.0,2137.0,729.0,0.341,6918,3123,0.451,2039,1484,0.728,842.0,1491,8459,3635.0,672.0,1249.0,43,True,2,Eastern
6,ATL,2017-18,1946,348.0,2693.0,2544.0,917.0,0.36,7015,3130,0.446,1654,1298,0.785,743.0,1606,8475,3436.0,638.0,1228.0,24,False,0,Eastern
7,ATL,2018-19,2118,419.0,2825.0,3034.0,1067.0,0.352,7524,3392,0.451,1918,1443,0.752,955.0,1932,9294,3780.0,675.0,1363.0,29,False,0,Eastern
8,BKN,2010-11,1723,384.0,2440.0,1337.0,459.0,0.343,6638,2918,0.44,1881,1427,0.759,909.0,1807,7722,3349.0,458.0,1069.0,24,False,0,Eastern
9,BKN,2012-13,1668,391.0,2460.0,1760.0,628.0,0.357,6544,2942,0.45,1958,1432,0.731,1047.0,1500,7944,3507.0,599.0,1140.0,49,True,3,Eastern
10,BKN,2013-14,1714,311.0,2407.0,1922.0,709.0,0.369,6391,2931,0.459,2002,1508,0.753,721.0,1777,8079,3128.0,705.0,1144.0,44,True,5,Eastern
11,BKN,2014-15,1716,340.0,2627.0,1633.0,541.0,0.331,6804,3069,0.451,1817,1359,0.748,846.0,1579,8038,3473.0,576.0,1098.0,38,True,2,Eastern
12,BKN,2015-16,1829,332.0,2614.0,1508.0,531.0,0.352,6920,3136,0.453,1699,1286,0.757,863.0,1476,8089,3477.0,627.0,1174.0,21,False,0,Eastern
13,BKN,2016-17,1756,387.0,2879.0,2591.0,877.0,0.338,6987,3102,0.444,2020,1592,0.788,721.0,1726,8673,3600.0,593.0,1307.0,20,False,0,Eastern
